Boy1,97,8,1085.0,generous
Boy2,51,8,6021.0,geeks
Boy3,75,7,6313.0,generous
Boy4,35,6,5023.0,geeks
Boy5,5,3,7146.0,miser
Boy6,61,10,1901.0,miser
Boy7,74,8,1516.0,miser
Boy8,4,5,8068.0,generous
Boy9,37,1,9611.0,geeks
Boy10,15,6,3626.0,geeks
Boy11,66,7,2407.0,geeks
Boy12,67,4,4894.0,miser
Boy13,60,3,3184.0,geeks
Boy14,1,4,6300.0,geeks
Boy15,80,7,9777.0,miser
Boy16,17,4,8038.0,generous
Boy17,29,6,8408.0,miser
Boy18,83,9,3003.0,generous
Boy19,89,7,6300.0,geeks
Boy20,77,3,7083.0,geeks
Boy21,57,1,5150.0,miser
Boy22,95,7,3095.0,geeks
Boy23,85,5,7648.0,generous
Boy24,89,2,2277.0,miser
Boy25,64,9,3456.0,miser
Boy26,83,3,5003.0,geeks
Boy27,9,9,1061.0,generous
Boy28,32,1,1671.0,generous
Boy29,56,1,2560.0,miser
Boy30,46,4,9013.0,miser
Boy31,85,5,6908.0,geeks
Boy32,80,8,7351.0,miser
Boy33,47,4,7743.0,generous
Boy34,4,7,3918.0,generous
Boy35,77,7,2438.0,miser
Boy36,24,7,9704.0,geeks
Boy37,56,9,9324.0,generous
Boy38,40,3,1359.0,miser
Boy39,87,9,5739.0,miser
Boy40,22,5,5200.0,generous
Boy41,45,4,2496.0,generous
Boy42,20,8,7776.0,generous
Boy43,90,8,8283.0,generous
Boy44,89,9,3185.0,miser
Boy45,6,1,8868.0,geeks
Boy46,52,2,1475.0,geeks
Boy47,71,2,5895.0,miser
Boy48,70,7,7498.0,miser
Boy49,35,3,2680.0,miser
Boy50,56,3,4286.0,generous
Boy51,51,2,9231.0,geeks
Boy52,75,10,4070.0,miser
Boy53,21,4,6461.0,generous
Boy54,50,10,3516.0,miser
Boy55,39,10,3533.0,geeks
Boy56,70,9,8611.0,generous
Boy57,36,5,9707.0,geeks
Boy58,57,3,3195.0,generous
Boy59,33,3,2944.0,generous
Boy60,94,1,7003.0,geeks
Boy61,33,10,3955.0,geeks
Boy62,21,3,5846.0,miser
Boy63,64,1,1840.0,miser
Boy64,9,10,2398.0,generous
Boy65,65,2,1189.0,geeks
Boy66,53,5,2596.0,miser
Boy67,92,7,6064.0,miser
Boy68,34,4,3749.0,geeks
Boy69,67,5,4410.0,geeks
Boy70,3,4,7933.0,geeks
Boy71,64,1,3670.0,generous
Boy72,51,3,4080.0,geeks
Boy73,77,10,6961.0,generous
Boy74,49,7,3571.0,generous
Boy75,43,4,6739.0,geeks
Boy76,87,8,4495.0,geeks
Boy77,11,5,7973.0,generous
Boy78,47,2,7166.0,generous
Boy79,51,9,1105.0,miser
Boy80,4,1,5196.0,generous
Boy81,97,7,8797.0,generous
Boy82,78,8,6510.0,miser
Boy83,90,9,5399.0,generous
Boy84,81,2,2022.0,miser
Boy85,76,2,1641.0,generous
Boy86,21,5,7748.0,generous
Boy87,72,1,3254.0,miser
Boy88,32,3,9326.0,generous
Boy89,65,9,6851.0,geeks
Boy90,90,8,1760.0,miser
Boy91,6,6,1902.0,geeks
Boy92,16,1,7388.0,geeks
Boy93,79,3,4330.0,geeks
Boy94,49,8,2515.0,generous
Boy95,12,4,2217.0,geeks
Boy96,15,3,9370.0,geeks
Boy97,20,3,5632.0,miser
Boy98,27,9,2286.0,miser
Boy99,71,9,4246.0,generous
Boy100,20,4,7839.0,miser
Boy101,79,8,3660.0,miser
Boy102,47,5,1776.0,miser
Boy103,10,1,3221.0,generous
Boy104,10,10,5901.0,geeks
Boy105,42,5,7351.0,miser
Boy106,3,3,9275.0,miser
Boy107,20,10,3233.0,geeks
Boy108,93,6,5762.0,generous
Boy109,81,3,7330.0,miser
Boy110,47,6,9662.0,geeks
Boy111,39,9,1400.0,geeks
Boy112,35,3,8873.0,miser
Boy113,28,9,1022.0,miser
Boy114,84,7,2267.0,generous
Boy115,77,3,4699.0,geeks
Boy116,35,8,5274.0,generous
Boy117,96,2,3690.0,miser
Boy118,49,2,9913.0,generous
Boy119,70,6,5268.0,generous
Boy120,91,3,7372.0,miser
Boy121,82,9,3415.0,miser
Boy122,76,6,6234.0,geeks
Boy123,75,1,3874.0,miser
Boy124,6,8,2026.0,miser
Boy125,69,9,9894.0,generous
Boy126,29,10,9286.0,generous
Boy127,32,3,2606.0,miser
Boy128,26,7,9530.0,geeks
Boy129,95,9,8415.0,generous
Boy130,1,5,2125.0,generous
Boy131,2,4,7768.0,geeks
Boy132,15,3,5358.0,miser
Boy133,52,5,2259.0,generous
Boy134,19,8,3575.0,generous
Boy135,61,2,6393.0,geeks
Boy136,44,10,9182.0,generous
Boy137,24,8,3050.0,miser
Boy138,45,5,5414.0,geeks
Boy139,13,8,7114.0,generous
Boy140,96,8,2786.0,geeks
Boy141,16,4,9372.0,geeks
Boy142,100,8,2858.0,generous
Boy143,40,5,6627.0,miser
Boy144,26,2,2588.0,miser
Boy145,72,6,9451.0,miser
Boy146,86,3,8772.0,generous
Boy147,5,1,6388.0,generous
Boy148,70,10,6595.0,geeks
Boy149,89,6,4823.0,generous
Boy150,50,8,1571.0,geeks
